City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
288,Belyy Yar,RU,53.6039,91.3903,24.85,65,0,13.42,clear sky
289,Guerrero Negro,MX,27.9769,-114.0611,63.36,63,5,6.13,clear sky
290,Kawalu,ID,-7.3817,108.2082,83.7,65,100,2.89,overcast clouds
291,Provideniya,RU,64.3833,-173.3,32.36,86,100,15.66,fog
292,Abu Zabad,SD,12.35,29.25,64.29,25,1,11.77,clear sky
293,Katangli,RU,51.7102,143.2326,28.33,72,33,6.26,scattered clouds
294,Bonito,BR,-21.1211,-56.4819,66.85,68,2,3.44,clear sky
295,Carnarvon,AU,-24.8667,113.6333,68.47,54,90,20.76,overcast clouds
296,Wasilla,US,61.5814,-149.4394,38.73,85,0,3.44,clear sky
297,Ust-Koksa,RU,50.2696,85.6108,10.11,90,98,1.05,overcast clouds
298,Donskoye,RU,45.4552,41.9741,53.73,46,100,6.06,light rain
299,Kiunga,PG,-6.1219,141.2906,90.37,54,99,3.69,overcast clouds
300,Chicama,PE,-7.8447,-79.1469,61.34,83,72,5.53,broken clouds
301,Saint-Augustin,CA,51.226,-58.6502,28.09,95,100,19.04,snow
302,Beringovskiy,RU,63.05,179.3167,26.15,94,99,3.04,light snow
303,Pandan,PH,14.0453,124.1694,81.45,87,98,14.29,overcast clouds
304,Preobrazheniye,RU,42.9019,133.9064,48.99,60,16,10.96,few clouds
305,Brae,GB,60.3964,-1.353,44.91,68,100,34.0,overcast clouds
306,Tabas,IR,33.5959,56.9244,59.85,70,100,4.27,overcast clouds
307,Taft,IR,31.7471,54.2088,54.64,73,100,6.85,overcast clouds
308,Saint Anthony,US,45.0205,-93.218,24.75,80,100,18.41,overcast clouds
309,Fort-Shevchenko,KZ,44.5086,50.263,46.06,75,8,9.86,clear sky
310,Yeppoon,AU,-23.1333,150.7333,80.38,55,52,11.9,broken clouds
311,Moses Lake,US,47.1301,-119.2781,32.88,74,0,5.75,clear sky
312,Luderitz,NA,-26.6481,15.1594,57.6,64,42,13.47,scattered clouds
313,Mahebourg,MU,-20.4081,57.7,75.25,59,1,4.0,clear sky
314,Oranjemund,NA,-28.55,16.4333,56.07,89,43,8.5,scattered clouds
315,San Miguelito,PA,9.0333,-79.5,78.89,87,100,4.0,light rain
316,Mayumba,GA,-3.432,10.6554,74.3,90,99,3.04,overcast clouds
317,San Patricio,US,28.017,-97.5169,54.84,58,100,6.33,overcast clouds
318,Luwuk,ID,-0.9516,122.7875,82.99,78,100,0.87,overcast clouds
319,Bondo,CD,3.8146,23.6866,68.2,90,93,1.36,overcast clouds
320,Santa Marta De Tormes,ES,40.9506,-5.6272,47.03,98,75,8.05,broken clouds
321,Hastings,GB,50.8552,0.5729,50.79,76,99,22.62,overcast clouds
322,Samarai,PG,-10.6167,150.6667,85.84,70,50,15.75,scattered clouds
323,Mitsamiouli,KM,-11.3847,43.2844,77.74,81,15,10.25,few clouds
324,Amberley,US,39.2048,-84.428,30.29,73,100,8.05,overcast clouds
325,Santa Rosa,PH,14.3122,121.1114,87.12,88,100,14.92,moderate rain
326,Banyuwangi,ID,-8.2325,114.3576,78.22,92,100,4.25,overcast clouds
327,Aban,RU,56.67,96.06,12.58,82,99,7.29,overcast clouds
328,Alice Springs,AU,-23.7,133.8833,83.75,48,75,16.11,broken clouds
329,Grand Gaube,MU,-20.0064,57.6608,75.38,54,1,3.0,clear sky
330,Nouadhibou,MR,20.931,-17.0347,71.71,49,0,17.98,clear sky
331,Polunochnoye,RU,60.8697,60.4153,-7.01,93,59,3.76,broken clouds
332,Buta,CD,2.7858,24.73,70.05,95,100,1.14,overcast clouds
333,Muros,ES,42.7762,-9.0603,47.14,96,75,6.13,broken clouds
334,Mobaye,CF,4.319,21.1786,70.7,90,88,2.21,overcast clouds
335,Ottersberg,DE,53.1,9.15,40.12,90,100,13.6,overcast clouds
336,Kirovskiy,RU,45.0917,133.5136,37.17,76,35,8.97,scattered clouds
337,Ivanteyevka,RU,55.9711,37.9208,27.34,88,100,11.25,light snow
338,Yantal,RU,56.8471,105.2542,14.04,87,100,8.03,overcast clouds
339,Nauta,PE,-4.5061,-73.5757,71.53,90,33,2.68,scattered clouds
340,Kieta,PG,-6.2167,155.6333,81.84,79,98,3.29,moderate rain
341,Havre-Saint-Pierre,CA,50.2334,-63.5986,25.21,86,97,7.18,overcast clouds
342,Kruisfontein,ZA,-34.0033,24.7314,60.89,72,100,1.32,overcast clouds
343,Zhigansk,RU,66.7697,123.3711,-7.67,97,100,11.12,overcast clouds
